Имя пользователя,Ссылка,Время,Текст,Хэштеги
Росбалт,@rosbaltru,31 янв. 2020 г.,,
Казобон,@ikazabon,31 янв. 2020 г.,Почти все собрали #коронавирус ,#коронавирус
Маша Гагарина,@MashaGagareena,31 янв. 2020 г.,ВООЗ объявил вспышку #коронавирус'а глобальной чрезвычайной ситуацией в области здравоохранения.,#коронавирус
RuNews24.ru Новости,@runews24ru,31 янв. 2020 г.,"Жительница Китая, излечившаяся от коронавируса, рассказала о болезни",
Интерфакс-Украина,@interfaxua,31 янв. 2020 г.,"На 42 человека увеличилась за сутки смертность от нового коронавируса в китайской провинции Хубэй, выявлено более 1,2 тыс. новых больных – власти",
Bayraktar (подпись неразборчиво),@Powertropin,31 янв. 2020 г.,"Если вирус прийдет в РФ до создания вакцины, всем крышка! Молитвами не поможешь, хоть облейся святой водой или чем там из колодца поливают. Крестный ход не поможет, как и никогда не помогал. Мощи облизывать тоже нет резона. А медицину и науку просрали. #коронавирус #вирус",#коронавирус
Кодекс,@KodeksuNET,31 янв. 2020 г.,Вышли новые данные по #коронавирус #coronavirus ,#коронавирус
Интерфакс-Украина,@interfaxua,31 янв. 2020 г.,Италия приостанавливает авиасообщение с КНР после обнаружение первых случаев заболевания коронавирусом,
Sentinel #Україна,@You_are_Future,31 янв. 2020 г.,Пошли обновления из Китая:,
Коронавирус и ещё что похуже. Новости на русском.,@CoronaviridaeRu,31 янв. 2020 г.,Теперь на интерактивной карте посвященной эпидемии коронавируса можно по регионам Китая смотреть соотношение умерших к вылеченным,
Пятый канал Новости,@5tv,31 янв. 2020 г.,,
RusNext РусскаяВесна,@rusnextru,31 янв. 2020 г.,Ранее в СМИ появилась информация о якобы обнаружении нового типа коронавируса у пациента в Москве. #Коронавирус #РусскаяВесна #RusNext,#коронавирус
эдуард зельцман,@edikzeltsmann,31 янв. 2020 г.,Ну вот и правда о #коронавирус подъехала. Сравнивают с Чернобылем. Говорят что реальные цифры болезни гораздо выше официальных!! #coronavirus #nCoV2020,#коронавирус
BSamedi,@DubinevichRoman,31 янв. 2020 г.,Общее количество зараженных: 8236. Смертей: 171. Излечившихся: 143.,
эдуард зельцман,@edikzeltsmann,31 янв. 2020 г.,Сравнение #коронавирус и #sars и #Ebola быстрое распространение и низкая смертность,#коронавирус
Pekвием по РФ #FreeNavalny #НЕТВОЙНЕ,@RuFailedState,31 янв. 2020 г.,В Багдаде (России) все спокойно #коронавирус,#коронавирус
Tania Vols,@Tania_Vols,31 янв. 2020 г.,"Все 4 случая #nCoV2019 в ОАЭ пока бессимптомны. Звучит как хорошие новости, но для контроля эпидемии, это означает обратное. Чем больше бессимптомных носителей, тем больше будет заболевших. ",
Sentinel #Україна,@You_are_Future,31 янв. 2020 г.,Первых 2 случая #коронавирус подтвержден в Италии (Рим),#коронавирус
Новости 48,@Mansurych1,31 янв. 2020 г.,Вспышку коронавируса признали чрезвычайной ситуацией международного знач... https://youtu.be/5omZEvIjJ24 с помощью ,
Jenkers News (RUS),@jenkers_ru,31 янв. 2020 г.,Излечившаяся от #коронавирус'а китаянка рассказала о болезни http://jenke.rs/Eh7r0H,#коронавирус
Slava Makaroff,@slavamakarov,31 янв. 2020 г.,Роспотребнадзор и секретариат Голиковой опровергают данные о первом заболевшем коронавирусом в Москве.(https://t.me/breakingslash/661…),
Новини України/Новости Украины,@InfoProstirUA,31 янв. 2020 г.,"В Одессе вводятся экстренные меры, на «7 километре» невиданный переполох #7километр #коронавирус #ОГА #ОксанаСорочан http://agrimpasa.com/v-odesse-vvodyatsya-ekstrennye-mery-na-7-kilometre-nevidannyj-perepolox/…",#коронавирус
Евгеша,@A2Cd8YMxLFqNSOH,31 янв. 2020 г.,"Граждане, успокойтесь уже! Вы не пуп Земли и до вас не дойдет коронавирус! Все ленты засрали своими паническими сообщениями. #коронавирус #идиотизм",#коронавирус
Slava Makaroff,@slavamakarov,31 янв. 2020 г.,Теперь и в Москве ,
Random,@RMKPZ,31 янв. 2020 г.,ВОЗ объявила вспышку коронавирус чрезвычайной ситуацией глобального масштаба  #КОРОНАВИРУС #СЛУЧАЙ #КИТАЙ https://oi5.ru/n328463621,#коронавирус
STAR CITIZEN,@insearchingof,31 янв. 2020 г.,"2020 очень дерзкий год по сравнению с 2019. Той зимой все обсуждали яйцо в инстаграме, сейчас все гораздо серьёзнее..",
Эдуард Дунаевский,@EDunayevskyi,31 янв. 2020 г.,"Ну вот, не прошло и полгода...",
Sergey Kozlov,@Kozlov_Sergey,31 янв. 2020 г.,"3/ То есть чуть больше половины (а это как бэ много). Это означает что, если соотношение выздоравливающих и летальных исходов через 2-3 недели сохранится, то количество жертв от текущих 8235 диагностированных случаев составит 8235*54%=4447 человек.",
Sergey Kozlov,@Kozlov_Sergey,31 янв. 2020 г.,"2/ На вечер 30 января получается 171/8235=2%. Но, мне кажется, что это неправильный подход, так как в итоге может быть два исхода, либо летальный, либо человек выздоравливает. Если считать так, то процент летальных исходов будет 171/(171+143)=54%! ",
Sergey Kozlov,@Kozlov_Sergey,31 янв. 2020 г.,"1/ Все уже ""заразились"" короновирусом, даже тот кто здоров. Из каждого утюга говорят об этом, в том числе и о смертности, но почему то называют цифру в 2%? Видимо делят общее число заболевших на текущий момент на общее число летальных случаев на текущий момент. ",
Коронавирус и ещё что похуже. Новости на русском.,@CoronaviridaeRu,31 янв. 2020 г.,На #коронавирус люди хотят навариться до пузырей,#коронавирус
Ot'ebis,@_churchela,31 янв. 2020 г.,"Итак, #коронавирус настиг и меня, неприятные ощущения... Если не вылечусь, приходите на похороны...",#коронавирус
Эдуард Дунаевский,@EDunayevskyi,31 янв. 2020 г.,Объективная инфа и аналитика о коронавирусе.,
Аиша Наталия,@Aisha_natalia,31 янв. 2020 г.,#коронавирус предъявляет документы и документ о месте своей регистрации полицейскому. https://instagram.com/p/B79ReyYl49J/?igshid=1gpra4fwfatw5…,#коронавирус
Aleksandr,@CAP_ONE77,31 янв. 2020 г.,#Коронавирус напугал #Макдональдс,#коронавирус
alextsaryev,@alextsaryev1,31 янв. 2020 г.,SOS!!! Всемирная организация здравоохранения (ВОЗ) объявила ЧС международного значения из-за нового вида коронавируса!!! #китай,
Александр Яневский (Alex Yanevskyy),@yanevskyy,31 янв. 2020 г.,ВООЗ объявил вспышку #коронавирус'а глобальной чрезвычайной ситуацией в области здравоохранения.,#коронавирус
хочу спать,@hVsikPe5CRZQFoP,31 янв. 2020 г.,"тот самый неловкий момент, когда у тебя буквально 0 подписчиков, ты абсолютно не понимаешь чтоэтонахуйтакое под названием твиттер, но у тебя, сука, так и чешутся руки что-то сюда написать. если у тебя не было такого чувства, то что ты, блять, такое?",
bomboed,@bomboed,31 янв. 2020 г.,Приехали? #Коронавирус,#коронавирус
ZN.UA Зеркало недели,@zn_ua,31 янв. 2020 г.,ВОЗ признала вспышку нового коронавируса чрезвычайной ситуацией международного значения #новости #новини #ВОЗ #коронавирус,#коронавирус
Умная Медицина,@RBarbarisova,31 янв. 2020 г.,"Слухов о коронавирусе, разбушевавшемся в Китае, так много, что легко запутаться в информации. Ведущий специалист ЦНИИ Эпидемиологии ответил на волнующие вопросы в эфире Первого канала. ",
Спортпресса,@sportpressa,31 янв. 2020 г.,Международная ассоциация легкоатлетических федераций (World Athletics) сообщила о переносе чемпионата мира по легкой атлетике в помещении с 2020 на 2021 год. ,
Новости дня AOinform,@aoinform,31 янв. 2020 г.,В Китае коронавирус обнаружили у восьми тысяч человек #китай #коронавирус #статистика https://aoinform.com/news/v_kitae_koronavirus_obnaruzhili_u_vosmi_tysjach_chelovek/2020-01-30-35131…,#коронавирус
Служба новостей ООН,@UN_News_RU,31 янв. 2020 г.,"Распространение #коронавирус-а. Карта #ВОЗ. Мир: 7818 подтвержденных случаев. КНР: 7736 - подтверждено, 12167 - подозрения, 170 смертей. В 18 других странах - 82 подтвержденных случая. ",#коронавирус
fata morgana,@ZoulJill,31 янв. 2020 г.,моя знакомая.которая живет в китае. говорит что ситуация сииииильно преувеличена . все там норм.,
Cобытия дня в России,@smnewsru,31 янв. 2020 г.,Во Франции подтвердили шестой случай заражения новым коронавирусом,
Коронавирус и ещё что похуже. Новости на русском.,@CoronaviridaeRu,31 янв. 2020 г.,"И ещё немного ""мракобесие и нажива""",
Коронавирус и ещё что похуже. Новости на русском.,@CoronaviridaeRu,31 янв. 2020 г.,Мракобесие и нажива!,
Валера фффф,@chanvalera0,31 янв. 2020 г.,"Ну что друзьяшки) нихау)щас буду анбоксить) самый экстремальный анбоксинг) с Богом, как говориться) #коронавирус https://instagram.com/p/B79G7l3n0c8/?igshid=o5t2b1rnearc…",#коронавирус
Інтерфакс-Україна,@InterfaxUkraine,31 янв. 2020 г.,"Во Франции врач стал шестым человеком, заразившимся коронавирусом",
