Имя пользователя,Ссылка,Время,Текст,Хэштеги
Георгий,@pravda60,21 апр. 2020 г.,"""Кто ты?"": дочь не узнала поседевшего из-за борьбы с COVID-19 отца-медика: https://ria.ru/20200420/1570296896.html…",
ИА «Грозный-информ»,@GroznyInform,21 апр. 2020 г.,"Большинство стран мира ввело режим самоизоляции. Подробнее о том, какие наказания ждут нарушителей в разных государствах. #карантин #коронавирус #сомоизоляция #меры #штраф #евро #нарушение #грозныйинформ @ Europe https://instagram.com/p/B_N4eNNnrww/?igshid=1qlig0i0tyifg…",#коронавирус
chernigov.org,@ChernigovOrg,21 апр. 2020 г.,COVID-19: в Бельгии почти полторы тысячи новых зараженных https://chernigov.org/gorjachie-novosti/covid-19-v-belgii-pochti-poltory-tysjachi-novyh-zarazhennyh/…,
Александр Федотов,@The_Fedotov,21 апр. 2020 г.,#коронавирус #самоизоляция,#коронавирус
smilefun,@SmileFunRu,21 апр. 2020 г.,"В Роспотребнадзоре спрогнозировали, когда наступит пик заболеваемости коронавирусом Пик заболеваемости COVID-19 мо https://smilefun.ru/2020/04/20/v-rospotrebnadzore-sprognozirovali-kogda-nastypit-pik-zabolevaemosti-koronavirysom/…",
alisprint.online,@seotor,21 апр. 2020 г.,Рэпер Трэвис Скотт представит новую песню на концерте в Fortnite,
Код жизни,@Kodelifeee,21 апр. 2020 г.,Почему лишний вес опасен при COVID-19,
A.Ponukalov,@APonukalov,21 апр. 2020 г.,"Рогозин заявил, что космодром Восточный можно использовать для прыжков на батуте... https://neuezeiten.livejournal.com/9342070.html?utm_source=twsharing&utm_medium=social… #Предчувствиебольшогошухера #НЕФТЯНОЕПРОКЛЯТИЕ #путинвор #УбийцаПатрушев #коронавирус #шойгувор #сечинвор",#коронавирус
ANADOLU AGENCY (RU),@aa_russian,21 апр. 2020 г.,#Турция принимает успешные меры по борьбе с пандемией #Covid19 http://v.aa.com.tr/1812042,#covid #covid19
Pekвием по РФ #FreeNavalny #НЕТВОЙНЕ,@RuFailedState,21 апр. 2020 г.,"Первый случай значительной мутации коронавируса нового типа обнаружен в Индии, сообщают авторы исследования, опубликованного на ресурсе bioRxiv. ",
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Голикова оценила процентный рост числа заболевших COVID-19 в регионах http://zdravmedinfo.com/mednews.html?article=140869…  #новости #медицина,
lujant,@lujant10,21 апр. 2020 г.,"Это у них карантин. А у нас так, имитация. https://ibigdan.livejournal.com/24979241.html?utm_source=twsharing&utm_medium=social… #Коронавирус",#коронавирус
Леонид Алексейцев,@DobryiLEoPoLD,21 апр. 2020 г.,#интервью #МаксимШевченко ,
TIMUR MARKOV,@TIMURMARKOV10,21 апр. 2020 г.,"Мы, правозащитники, активисты и другие российские граждане, крайне обеспокоены полной информационной изоляцией пенитенциарных учреждений в России на фоне распространения COVID 19 и отсутствием полной информации об эпидемической ситуации в учреждениях ФСИН",
A.Ponukalov,@APonukalov,21 апр. 2020 г.,"Песков: наступило «авральное время», которое требует ручного управления. - Стесняюсь спросить -... https://neuezeiten.livejournal.com/9341840.html?utm_source=twsharing&utm_medium=social… #путинвор #УбийцаПатрушев #коронавирус #шойгувор #навкинвор #ворчайка #димонвор #сечинвор",#коронавирус
24topkz,@24topkz,21 апр. 2020 г.,Дерипаска назвал ситуацию с COVID-19 «биологическим Чернобылем» http://24top.kz/society/deripaska-nazval-situaciju-s-covid-19-biologicheskim-chernobylem/…,
@kpru,@kpru,21 апр. 2020 г.,Коронавирус в Москве: Умерли еще 29 пациентов,
vecherka.news,@Vecherka_News,21 апр. 2020 г.,В России почти 50 тысяч заболевших коронавирусом,
Московский Комсомолец,@mkomsomolets,21 апр. 2020 г.,Более чем 10 штатах США протестуют против ограничений из-за COVID-19,
ИА REGNUM,@IA_REGNUM,21 апр. 2020 г.,В Москве скончались ещё 29 пациентов с COVID-19 https://regnum.ru/news/2923172,
Pekвием по РФ #FreeNavalny #НЕТВОЙНЕ,@RuFailedState,21 апр. 2020 г.,"Число больных COVID-19 на промплощадке ""НОВАТЭКа"" под Мурманском за сутки выросло на 9% до 317 человек",
ANADOLU AGENCY (RU),@aa_russian,21 апр. 2020 г.,Число жертв Covid-19 в мире превысило 170 тыс человек,
ИА Хакасия,@19rusInfo,21 апр. 2020 г.,COVID-19: ученые предоставили политикам отчет-бомбу,
anti,@Anti_word,21 апр. 2020 г.,"Кожа китайских врачей чуть не погибших от COVID-19 почернела (!?,)",
"Alexey Weiss, MD",@dweisa,21 апр. 2020 г.,COVID-19 и скользкая дорога цитокиновых бурь,
Aндрей,@A62930479,21 апр. 2020 г.,ЭКСПЕРТ ПРОКОММЕНТИРОВАЛ ЗАЯВЛЕНИЕ ВОЗ О НИЗКОЙ ЭФФЕКТИВНОСТИ САМОИЗОЛЯЦИИ В БОРЬБЕ С COVID-19,
Коломна Online,@kolomnaonline,21 апр. 2020 г.,Туристам скоро придется получать сертификаты здоровья «Свободный от Covid-19» https://tourism.kolomnaonline.ru/?p=5896 #Коломна,
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,За сутки в России подтверждено 4268 случаев COVID-19 в 76 регионах http://zdravmedinfo.com/mednews.html?article=140775…  #новости #медицина,
Кавказский Узел,@caucasianknot,21 апр. 2020 г.,Роспотребнадзор предположил рост числа заболевших #Covid-19 после митинга во Владикавказе.,#covid #covid-19
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,В ВОЗ предрекли человечеству непростые испытания в связи с #коронавирус'ом http://jenke.rs/p3R8Uo,#коронавирус
Сделано в Германии,@DeHergestelltin,21 апр. 2020 г.,Земля RP планирует снижение налога НДС для ресторанов с 19% до 7% на один год. Тем самым поможет сэкономить этой отрасли 300 млн евро. #германия #коронавирус,#коронавирус
Эдуард Дунаевский,@EDunayevskyi,21 апр. 2020 г.,"Как можно ускорить регистрацию того, чего нет и не может быть по определению.",
10 квітня,@buch10_04,21 апр. 2020 г.,"Визит Лукашенко в Свято-Благовещенский Ляденский храм сопровождался беспроцентными мерами по дезинфекции. Несколько суток весь храм чистили и мыли с использованием специальных средств, всех прихожан тщательно проверяли, делали тесты на Covid-19.",
FacepalmPress,@FacepalmPress,21 апр. 2020 г.,#Полиция Индии заставила нарушивших карантин туристов извиниться 500 раз,
Vieta,@Lizvetoczka,21 апр. 2020 г.,"Что мы знаем на сегодня о КВ covid-19? Основное: способность вызывать заболевание (вирулентность) высокая;- передается воздушно-капельным или контактным путем;- опыта предшествующих встреч нет ни у кого. И о самом главном..., - Е.Комаровский",
Rus-Infopress,@RusInfopress,21 апр. 2020 г.,COVID-19: Глава Минздрава назвал примерные сроки спада заболеваемости » ИНТЕРНЕТ ИЗДАНИЕ РУССКАЯ ПРЕССА: https://rus-infopress.ru/index.php?newsid=90537…,
Новости NewsTes,@xpshiscoa,21 апр. 2020 г.,В оксфордский словарь внесли изменения из-за влияния COVID-19 на язык  https://newstes.ru/2020/04/20/v-oksfordskij-slovar-vnesli-izmenenija-iz-za-vlijanija-covid-19-na-jazyk.html…,
Крым 24,@crimea24news,21 апр. 2020 г.,В России разрешили лечить COVID-19 незарегистрированным препаратом из Китая https://24crimean.ru/news/society/76159-v-rossii-razreshili-lechit-covid-19-nezaregistrirovannym-preparatom-iz-kitaja.html…,
Настоящее Время,@CurrentTimeTv,21 апр. 2020 г.,"В Екатеринбурге в больнице №1 диагностировали коронавирус у 91 человека, среди них – 16 медиков.",
Политика в Украине,@PolitinformNet,21 апр. 2020 г.,"Число заболевших COVID-19 в вооруженных силах США превысило 5,3 тысяч - https://politinform.net/ukraine/chislo-zabolevshix-covid-19-v-vooruzhennyx-silax-ssha-prevysilo-53-tysyach/… #Киев #Новости #Украина",
@kpru,@kpru,21 апр. 2020 г.,В Нур-Султане в сжатые сроки построили госпиталь для лечения Covid-19,
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,"В Москве 17,5 тысячи медиков и работников горслужб проверили на COVID-19 http://zdravmedinfo.com/mednews.html?article=140691…",
Сiкора Вячaслаy,@SikoraSlava,21 апр. 2020 г.,"Врачу Лидской центральной районной больницы стало плохо на работе - он вышел подышать. Когда не вернулся, коллеги стали его искать — нашли бездыханное тело. Последнее время врач работал в реанимации, где лежат пациенты с COVID-19.",
ACHTUNG PARTISANEN,@EuropeanFront,21 апр. 2020 г.,"ВОЗ: нет свидетельств, что у вылечившихся от COVID-19 выработался иммунитет к вирусу https://achtungpartisanen.ru/voz-net-svidetelstv-chto-u-vylechivshihsya-ot-covid-19-vyrabotalsya-immunitet-k-virusu/…",
Ехидные твиты,@_U_R_I_c,21 апр. 2020 г.,"Можно подумать, что в Академии ВВС США отрабатывают лёгкую химическую атаку.",
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,В Москве установили размер выплат донорам крови с антителами на COVID-19 http://zdravmedinfo.com/mednews.html?article=140690…  #новости #медицина,
Kavkaz Center,@newkc14,21 апр. 2020 г., Неожиданно. #Китайские полицейские будут патрулировать улицы Рима и Милана. Пока в качестве эксперемента. А потом...?! ,
Город Nовостей,@citynru,21 апр. 2020 г.,Власти Еврейской автономной области сообщили о вспышке заболевания COVID-19 в колонии: В… https://goo.gl/fb/fEuwSt,
Автор,@zGZGtXosm1pm9C6,21 апр. 2020 г.,Всего в России инфицированы COVID-19 чуть более 47 тысяч человек,
Сделано в Германии,@DeHergestelltin,21 апр. 2020 г.,Немецкая компания Biontech из города Майнца на днях приступит к тестированию вакцины от #коронавирус в #германия ,#коронавирус
Хуёвый Москаль,@bad_moskal,21 апр. 2020 г.,20 апреля 2020 года на 58 году жизни от COVID-19 скончался начальник Отдела охраны общественного порядка УВД по ЗАО ГУ МВД России по г. Москве полковник полиции Игорь Арсеньевич Хвенько. https://77.мвд.рф/news/item/20013950/,
RusNext РусскаяВесна,@rusnextru,21 апр. 2020 г.,"Демонстрации с требованием смягчить или полностью отменить санитарные меры, введенные из-за распространения нового коронавируса, прошли в последние несколько дней в более чем десятке американских штатов. #Протесты #Коронавирус #РусскаяВесна #RusNext",#коронавирус
russia_india,@indiarubot,21 апр. 2020 г.,Индия укрепляет национальные силы ,
Телеканал 360°,@360tv,21 апр. 2020 г.,"В Чили введут «иммунные паспорта» для тех, кто переболел COVID-19. Этим людям не нужно будет соблюдать режим изоляции.",
smilefun,@SmileFunRu,21 апр. 2020 г.,В Поморье ужесточают «антивирусные» меры из-за вспышки COVID-19 в психбольнице В Архангельской клинической пс https://smilefun.ru/2020/04/20/v-pomore-yjestochaut-antivirysnye-mery-iz-za-vspyshki-covid-19-v-psihbolnice/…,
smilefun,@SmileFunRu,21 апр. 2020 г.,"Ученые исследуют пептид, который мог бы блокировать COVID-19 Международная группа учен https://smilefun.ru/2020/04/20/ychenye-issledyut-peptid-kotoryi-mog-by-blokirovat-covid-19/…",
InterMax,@IntermaxFun,21 апр. 2020 г.,"Число заболевших COVID-19 в вооруженных силах США превысило 5,3 тысяч https://intermax.fun/chislo-zabolevshih-covid-19-v-vooruzhennyh-silah-ssha-prevysilo-53-tysyach/…",
BBCcCNN,@bbcccnn,21 апр. 2020 г.,Озвучен пугающий прогноз на майские из-за COVID-19,
KakTyc Green,@kaktusgreen,21 апр. 2020 г.,Календарь в айфоне. Праздники РФ. COVID-19. Чот проиграл с этой хуйни.,
Artyom Odintsov,@KzTeMa,21 апр. 2020 г.,Влияние #COVID19 на русскоязычный Twitch.,#covid #covid19
Eleming,@NotNow15415592,21 апр. 2020 г.,В ответ ,
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,В Подмосковье перепрофилируют 16 медучреждений для пациентов с COVID-19 http://zdravmedinfo.com/mednews.html?article=140640…  #новости #медицина,
Говорящие новости,@NSN_fm,21 апр. 2020 г.,В Италии число людей с положительным тестом на коронавирус COVID-19 снизилось впервые с начала распространения инфекции в стране,
Новости Витебска,@vitebsk_news,21 апр. 2020 г.,"Четыре человека уже умерли от COVID-19 в Бешенковичском районе, количество заразившихся в Оршанском районе приближается к 70, а в Поставском превысило два десятка #vitebsk",
Российский Диалог.RU,@RusDialogRU,21 апр. 2020 г.,Названы ориентировочные сроки наступления пика эпидемии COVID-19 в России   https://rusdialog.ru/russia/197830_1587412917…,
Бизнес-журнал B-MAG,@bmag_ru,21 апр. 2020 г.,Путин поручил ускорить процедуры для разработки вакцины от COVID-19 ,
Новая Газета,@novaya_gazeta,21 апр. 2020 г.,Коронавирусную инфекцию обнаружили сначала у курсантов факультета подготовки врачей для иностранных армий. При дальнейшем тестировании COVID-19 подтвердился еще у 55 человек ,
X. Adam Mżawanadze,@mcmadal,21 апр. 2020 г.,"ДУШАНБЕ: ТЕЛО СОТРУДНИКА ПРОКУРАТУРЫ ПОХОРОНИЛИ ВРАЧИ В СКАФАНДРАХ - используя свои связи, не прошёл карантин... #КОРОНАВИРУС в Таджикистане https://akhbor-rus.com/-p4243-179.htm",#коронавирус
Artos,@osiparto,21 апр. 2020 г.,"""Бэтмен"" Мэтта Ривза, ""Шазам! 2"" и ""Флэш"" сменили дату премьеры из-за COVID-19",
Петрова Валентина,@Abamelek82,21 апр. 2020 г.,"Блокбастер мирового закулисья: «Осторожно, тест на COVID-19 заражен!»: https://eadaily.com/ru/news/2020/04/20/blokbaster-mirovogo-zakulisya-ostorozhno-test-na-covid-19-zarazhen… с помощью ",
Вести-Тула (ГТРК Тула),@gtrktula,21 апр. 2020 г.,На режим карантина планируется перевести 11 стационарных организаций. #новости #тула #тульскаяобласть #новоститулы #вести #веститула #гтрктула #россия1 #россия1тула #коронавирус #карантин https://vestitula.ru/?p=29664,#коронавирус
ACHTUNG PARTISANEN,@EuropeanFront,21 апр. 2020 г.,В оксфордский словарь внесли изменения из-за влияния COVID-19 на язык https://achtungpartisanen.ru/v-oksfordskiy-slovar-vnesli-izmeneniya-iz-za-vliyaniya-covid-19-na-yazyk/…,
RossoshAdm,@RossoshAdm,21 апр. 2020 г., Поддержка бизнеса в условиях COVID-19,
Портал АНТИКОР,@antikorua,21 апр. 2020 г.,Covid-19. Ученые нашли антитела у лам для борьбы с новым коронавирусом • Портал АНТИКОР https://antikor.com.ua/articles/374573-covid-19._uchenye_nashli_antitela_u_lam_dlja_borjby_s_novym_koronavirusom…,
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,Еще одна пациента с #коронавирус'ом умерла в #Костромской области http://jenke.rs/Ol0t9P,#коронавирус
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Расходы на лечение COVID-19 медучреждениям компенсируют за счет НСЗ http://zdravmedinfo.com/mednews.html?article=140630…  #новости #медицина,
Rich Peach,@RichPeach13,21 апр. 2020 г.,@sankldive,
Сделано в Германии,@DeHergestelltin,21 апр. 2020 г.,С сегодняшнего дня во многих Землях страны ввели обязательное ношение защитных масок в общественных местах. #германия #коронавирус,#коронавирус
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,«Сбербанк» и DocDoc вслед за «Яндексом» начали проводить тесты на Covid-19 на дому  http://zdravmedinfo.com/mednews.html?article=140619…  #новости #медицина,
Белновости,@BelnovostiBy,21 апр. 2020 г.,"Идет набор. Стало известно, как Минобр Беларуси борется с COVID-19",
AA Macedonian,@aa_macedonian,21 апр. 2020 г.,#Мерките што #земјите #гипрезедоа во #борбата #против #Ковид-19 http://v.aa.com.tr/1812207,#ковид
Николай Асламов,@nikmichas,21 апр. 2020 г.,Практические советы по потиводействию коронавирусной инфекции Covid-19. https://nikhas.ru/korotkie-novosti/koronavirus-covid-19-prakticheskie-sovety-po-protivodejstviyu.html?_utl_t=tw…,
Иван Волков,@neuroivan,21 апр. 2020 г.,Посмотрите про #Covid19 интересно. https://instagram.com/tv/B_NdUoAHCsi/?igshid=1w5igqvzu5wk8…,#covid #covid19
bars-1@inbox.lv,@alvijans,21 апр. 2020 г.,Когда Латвия выйдет из кризиса COVID-19: экс-министр не согласен с оценкой МВФ:,
Аиша Наталия,@Aisha_natalia,21 апр. 2020 г.,Бггг у меня ничего не изменилось.),
Новости Беларуси,@_News_Belarus,21 апр. 2020 г.,Белорусы могут оценить онлайн риск инфицирования COVID-19,
Первый Крымский,@the1ru,21 апр. 2020 г.,В Севастополь после начала карантина приехало 13 тысяч человек https://firstcrimean.ru/news/sevastopol/127051-v-sevastopol-posle-nachala-karantina-priehalo-13-tysjach-chelovek.html…,
RusNext РусскаяВесна,@rusnextru,21 апр. 2020 г.,"На дорогах Москвы 19 апреля было рекордно низкое количество автомобилей, сообщил городской департамент транспорта в своем Telegram-канале. #Москва #Коронавирус #РусскаяВесна #RusNext",#коронавирус
ТАСС,@tass_agency,21 апр. 2020 г.,,
Павел,@Ppavel13,21 апр. 2020 г.,"В Ровенской области коронавирус повторно выявили у пациентов, готовившихся к выписке",
WAM Russian,@wamnews_Russian,21 апр. 2020 г.,"Совет Фетвы Эмиратов обсуждает обновления, связанные с COVID-19, с точки зрения исламского права во время Рамадана https://ift.tt/2XQHGih #wamnews",
htpdzrjd,@htpdzrjd,21 апр. 2020 г.,Пациентка с COVID-19 записала пугающее видео из реанимации: https://ria.ru/20200323/1569034453.html…,
Долиев Михаил,@tov_makarov,21 апр. 2020 г.,Нас убивают! https://mikhail-doliev.livejournal.com/499294.html #коронавирус #экология #Астрахань,#коронавирус
Алексей Кириленко,@Kirilenko_a,21 апр. 2020 г.,"Человечество еще ожидают непростые испытания, связанные с коронавирусом COVID-19, заявил глава ВОЗ Тедрос Адханом Гебрейесус.",
InterMax,@IntermaxFun,21 апр. 2020 г.,В Житомирской области резко возросло количество случаев COVID-19 https://intermax.fun/v-zhitomirskoj-oblasti-rezko-vozroslo-kolichestvo-sluchaev-covid-19/…,
Сихів,@syhiv25,21 апр. 2020 г.,В Москве от COVID-19 умер начальник патрульно-постовой службы УВД по Западному округу,
10 квітня,@buch10_04,21 апр. 2020 г.,Правозащитники о COVID-19 в Крыму: «Официальные цифры не соответствуют действительности»,
Интерфакс-Украина,@interfaxua,21 апр. 2020 г.,"Число заболевших COVID-19 в вооруженных силах США превысило 5,3 тысяч",
Артур Шевцов,@Arthur_Shevtsov,21 апр. 2020 г.,С такими карантин будет вечный. #карантин2020 #covid-19,#covid #covid-19
UfaTime.ru,@UfaTime,21 апр. 2020 г.,Российский авторынок может упасть на 48% из-за COVID-19 http://ufatime.ru/news/2020/04/21/rossijskij-avtorynok-mozhet-upast-na-48-iz-za-covid-19/…,
ТОП Новости в режиме онлайн,@topnovosti_icu,21 апр. 2020 г.,Тест на антитела к COVID-19 зарегистрируют на следующей неделе,
Expat,@LonelyExpat_,21 апр. 2020 г.,"В воскресенье, проведя две недели на вентиляции, 5 летняя девочка из Детройта умерла.  положительный тест  на COVID-19 в марте и затем   редкая форма менингита и отек мозга",
ТОП Новости в режиме онлайн,@topnovosti_icu,21 апр. 2020 г.,Генпрокуратура проверит данные о вспышке COVID-19 в психбольнице Архангельска,
Новости дня AOinform,@aoinform,21 апр. 2020 г.,Как выглядит прославившийся на весь мир Институт вирусологии в Ухане: видео #институт_вирусологии #ухань #коронавирус https://aoinform.com/news/kak_vygljadit_proslavivshijsja_na_ves_mir_institut_virusologii_v_ukhane_video/2020-04-20-36855…,#коронавирус
Интерфакс-Украина,@interfaxua,21 апр. 2020 г.,44 новых случая инфицирования коронавирусом COVID-19  зафиксировали в Житомирской области – глава ОГА,
Александр Яневский (Alex Yanevskyy),@yanevskyy,21 апр. 2020 г.,Эксперты – об американской  помощи странам бывшего СССР в борьбе с COVID-19 https://golos-ameriki.ru/a/usa-cis-help/5380604.html…,
Стахий Афанасьев,@stahy_ss,21 апр. 2020 г.,Немецкие ученые о COVID-19. Крематории в  Китае. https://youtu.be/10mR_5qXCYU с помощью ,
Кино Гуру,@kinogooru,21 апр. 2020 г.,"""Бэтмен"" Мэтта Ривза, ""Шазам! 2"" и ""Флэш"" сменили дату премьеры из-за COVID-19",
presshub_ru,@presshubeu,21 апр. 2020 г.,"Новосибирск  [interfax]  #Российский ученый предупредил, что лесные пожары могут ухудшить ситуацию с  #Covid-19",#covid #covid-19
Recipe.Ru,@recipe_news,21 апр. 2020 г.,"Ученые выяснили, почему люди с лишним весом хуже переносят Covid-19 https://recipe.ru/?p=333778 #медицина #фармация #здоровье",
Коммерсантъ,@kommersant,21 апр. 2020 г.,"20 апреля президент России Владимир Путин провел совещание, посвященное санитарно-эпидемиологической обстановке в стране. На нем сначала выяснилось, что в ближайшее время вакцина против COVID-19 не появится.",
Gays UA,@gays_ua,21 апр. 2020 г.,Из-за карантина английский гей может видеть новорожденную дочь лишь на экране смартфона #COVID-19 #родительство #США https://gays-ua.com/world/iz-za-karantina-anglijskij-gej-mozhet-videt-novorozhdennuyu-doch-lish-na-ekrane-smartfona…,#covid #covid-19
BodikSky,@Bodik_Sky,21 апр. 2020 г.,"Очень интересно жить в 2к20, пожары Австралии, саранча Африки,  Китайский Covid-19, чуть ли не война между США и Ираном, протесты в России, цена на нефть в -40$(больше чем бесплатно). 2020 жги дальше! !",
Эксклюзив,@GazetaRu_Extra,21 апр. 2020 г.,Индекс паники: как вырос спрос на страховку от COVID-19 #новости http://gazeta.ru/business/2020/04/20/13056229.shtml?utm_source=google&utm_medium=banner&utm_campaign=exclusive_article…,
proekt_zhit,@ProektZhit,21 апр. 2020 г.,Вдохновляйтесь его примером и берегите себя,
Мистер Zeragon,@ZeragonOfficial,21 апр. 2020 г.,"Меня же не одного бесит, что разработчики до сих пор не пофиксили этот новый вирус?",
proekt_zhit,@ProektZhit,21 апр. 2020 г.,"Доброта живёт в каждом человеке. Медсестры сделали очень благородное дело, позаботившись о самых маленьких своих пациентах",
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Эксперт рассказал о сроках доклинических исследований вакцины от COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140903…,
Игорь Максимов,@01infas,21 апр. 2020 г.,Блокбастер мирового закулисья: «Тесты на COVID-19 оказались заражены!» | InfoRuss https://inforuss.info/blokbaster-mirovogo-zakulisya/?_utl_t=tw…,
Alex,@Fotostopumor,21 апр. 2020 г.,#COVID19 #COVIDー19 ,#covid #covid19
htpdzrjd,@htpdzrjd,21 апр. 2020 г.,"Протестовавшие против карантина американцы пополнили статистику распространения COVID-19 | News Front | Новости: России, Украины, Сирии и Мира. Новости Новороссии (ЛНР, ДНР)",
proekt_zhit,@ProektZhit,21 апр. 2020 г.,"Спасибо всем учителями, что не теряют веру в своих учеников и продолжают совершенствовать из знания, даже находясь на карантине",
Vegatur,@vegatur1,21 апр. 2020 г.,"Медики из Китая и США предупредили о действии #коронавирус-а . Есть серьезные опасения того, что полное выздоровление невозможно, пишет The Jerusalem Post.",#коронавирус
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,Путин обсудит изменение нормативной базы для создания вакцины от COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140902…,
Vladyslav Mazur,@VladyslavMazur,21 апр. 2020 г.,Что происходит дальше —- Великобритания:,
real Anarchist,@veganarch,21 апр. 2020 г.,"С началом #COVID в Эстонии, благодаря заботе государства о здоровье граждан, пенсионные накопления в онлайн банке стали отображаться с минусом. Народ почему-то недоумевал. Сразу надо было конвертировать в баррели #WTI и не сеять панику среди будущих нефтяных магнатов.",#covid
RusNext РусскаяВесна,@rusnextru,21 апр. 2020 г.,"По последним данным, заболевание коронавирусом в вооруженных силах США выявлено уже у 5335 человек, сообщил в понедельник Пентагон. #Коронавирус #РусскаяВесна #RusNext",#коронавирус
Сиб.фм,@sibfm,21 апр. 2020 г.,"В Новосибирске увеличилось количество заражённых и погибших от коронавируса, а всё больше пациентов инфекционной больницы — дети; последние новости о COVID-19 в регионе — в материале Сиб.фм.https://sib.fm/news/2020/04/21/koronavirus-v-novosibirske-situatsiya-k-21-aprelya…",
Новости NewsTes,@xpshiscoa,21 апр. 2020 г.,В Ираке объяснили исторический обвал цен на нефть ситуацией с COVID-19  https://newstes.ru/2020/04/20/v-irake-objasnili-istoricheskij-obval-cen-na-neft-situaciej-s-covid-19.html…,
Tursunbay Bakir uulu,@bakiruulu,21 апр. 2020 г.,Ударим юмором по #coronavirus!,
Анатолий Власов,@AnatolyVlasov87,21 апр. 2020 г.,"Прыгуны во Владикавказе такие ДБ что МЕСЯЦ дома просидеть не могут. Я бы этих существ рискующими чужими жизнями, в случае заражения COVID-19 отправил на изоляцию за решетку без лечения. Они недостойны сил и здоровья медиков. Иммунитет скакуна пусть один решает судьбу хозяина.",
Сергей,@hXyJN7vQmaL2UDJ,21 апр. 2020 г.,#COVID #COVID19 #Короновирус ,#covid #covid19
Mongolia in Canada,@MongoliaCanada,21 апр. 2020 г.,"2020/4/20-нд COVID-19 тархалт  Канададын Бритиш Колумби 1647, Алберта 2803",
Мой Киев,@MyKiev_net,21 апр. 2020 г.,Кабмин назвал дату пика заболеваемости COVID-19 в Украине - https://mykiev.net/kiev-news/kabmin-nazval-datu-pika-zabolevaemosti-covid-19-v-ukraine/… #Киев #Новости #Украина,
RusDozorRu,@rusdozor_ru,21 апр. 2020 г.,В Париже вирус COVID-19 обнаружен в системе с технической водой,
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,ИБХ РАН приступил к разработке вакцины против COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140870… #новости #фармация,
Tarasyq Rybachow,@ratamau,21 апр. 2020 г.,Тут Кавказ https://salatau.livejournal.com/9886974.html #коронавирус,#коронавирус
Marie Claire Russia,@MarieClaire_ru,21 апр. 2020 г.,Самую заманчивую инициативу в помощь борьбе с COVID-19 предложили Мила Кунис и Эштон Кутчер: возлюбленные начинают выпускать «карантинное вино» совместно с винодельней Battle Creek Vineyards  Авторская бутылочка Pinot Noir от звездной пары стоит $2…,
Ardo,@Ardo_rin,21 апр. 2020 г.,Актуально на 20 апреля 22:23,
IRISHA VINNITSKAYA,@IRISHAVIN,21 апр. 2020 г.,В Минобороны расследуют сомнительный контракт с китайцами на закупку средств защиты от COVID-19 • ... https://antikor.com.ua/articles/374559-v_minoborony_rassledujut_somniteljnyj_kontrakt_s_kitajtsami_na_zakupku_sredstv_zashchity_ot_covid-19…,
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,«Биоком» перепрофилировал мощности под выпуск гидроксихлорохина от COVID-19 http://zdravmedinfo.com/pharmnews.html?article=140846… #новости #фармация,
Коммерсантъ,@kommersant,21 апр. 2020 г.,"Британского премьер-министра Бориса Джонсона обвинили в том, что Соединенное Королевство не подготовилось к эпидемии COVID-19, поскольку в начале года он пропустил сразу пять экстренных встреч по коронавирусу. Правительство вынуждено было выпустить …",
ZdravMedInfo,@ZdravMedInfo,21 апр. 2020 г.,"Производителям продукции, направленной на борьбу с COVID-19, выдано более 10 млрд рублей http://zdravmedinfo.com/pharmnews.html?article=140808… #новости #фармация",
kremenchug.ua,@kremen_ua,21 апр. 2020 г.,В Кременчуге появились ещё две санитарные зоны — …  https://kremenchug.ua/news/health/50588-v-kremenchuge-pojavilis-esche-dve-sanitarnye-zony-11-i-12.html…,
IT обозрение,@itoboz_com,21 апр. 2020 г.,Спидраннеры собрали $400 тысяч на благотворительном марафоне против COVID-19 - https://itoboz.com/games/spidrannery-sobrali-400-tysyach-na-blagotvoritelnom-marafone-protiv-covid-19/… #IT #софт #игры #смартфоны,
Ольга Яковалева,@quitrilag87,21 апр. 2020 г.,Специалист указал на странности COVID-19,
СеверПост,@_SeverPost_,21 апр. 2020 г.,В Мурманской области 403 человека больны коронавирусом,
dylxn,@DylxnsFederal,21 апр. 2020 г.,Онлайн-карты распространения COVID-19 зафиксировали необычные аномалии - https://voshod.org/videochanel/broadcasts/onlajn-karty-rasprostranenija-covid-19-zafiksirovali-neobychnye-anomalii/…,
